Complexity,Loss,Equation
1,0.3325041,"0.9477926"
2,0.23263563,"exp(-0.4592326)"
3,0.14985539,"1.1080346 / x26"
4,0.14120291,"exp(1.1593907 - x28)"
5,0.1412029,"exp(sqrt(1.3441557) - x28)"
7,0.07603803,"square(exp(-0.33716682 * (x2 / x3)))"
8,0.04141224,"square(exp(-0.33716682 * square(x2 / x3)))"
9,0.02138893,"sqrt(exp(-1.3611299 * square(square(x2 / x3))))"
10,0.011001514,"sqrt(exp(-1.3719839 * square(square(square(x2 / x3)))))"
11,0.005782273,"square(exp(square(square(square(square(x2 / x3)))) * -0.34674543))"
13,0.004495616,"square(exp(0.0057581305 - square(square(square(square(x2 / x3)) + -0.2297316))))"
15,0.0044246446,"sqrt(exp(0.04767564 - square(square(1.5020587 * (square(square(x2 / x3)) - 0.2573966)))))"
16,0.0041067367,"square(square(exp(0.0057581305 - square(square(-0.2297316 + square(square(x2 / x3))) - 0.093665764))))"
18,0.0022816248,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(exp(35.29831 - (138.41486 * (x2 / x3)))))))))))))"
19,0.0015837271,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(exp(35.29831 - (138.41486 * (x2 / x3))))))))))))))"
20,0.0014180491,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(exp(29.147877 - (132.32988 * (x2 / x3)))))))))))))))"
21,0.0013835515,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(exp(21.550861 - ((x2 / x3) * 124.72897)))))))))))))))"
22,0.0013787423,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(exp(5.05834 - (108.40034 * (x2 / x3)))))))))))))))))"
23,0.0013777141,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(exp(0.5614866 - ((x2 / x3) * 104.054146)))))))) * x18)))))))"
24,0.0013757185,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(exp(35.29831 - ((x2 / x3) * 138.41486))))))) / x19)))))))))"
25,0.0012563603,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(square(exp((1.6798012 - square(square(square((x2 / x3) * 1.6308826)))) - x19)))))))))))))"
26,0.0012295342,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(square(exp((1.6798012 - square(square(square((x2 / x3) * 1.6308826)))) - x19))))))))))))))"
27,0.001180849,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(square((x30 * sqrt(exp(29.144697 - ((x2 / x3) * 132.33414)))) / exp(x19))))))))))))))"
28,0.0011540937,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(square((x30 * sqrt(exp(29.144697 - ((x2 / x3) * 132.33414)))) / exp(x19)))))))))))))))"
29,0.0011502571,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(square((x30 * sqrt(exp(29.144697 - ((x2 / x3) * 132.33414)))) / exp(x19))))))))))))))))"
31,0.0011499521,"sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(square((x30 * sqrt(exp(29.144697 - ((x2 / x3) * 132.33414)))) / exp(x19))) / x19)))))))))))))"
